,TPK DKI JAKARTA,Data Inflasi,monthly_hotel_accomodation_gt,monthly_air_transportation_gt,monthly_sea_transportation_gt,monthly_land_transportation_gt,monthly_kurs_jual,monthly_culinary_shopping_gt,monthly_vacation_venue_gt,monthly_holiday_count,Kunjungan Wisnus DKI Jakarta,is_national_holiday,is_educational_holiday,is_covid
2020-11-30,45.63,1.59,18.780666666666665,9.961333333333334,0.3703333333333333,5.775333333333334,14301.051666666666,26.537333333333333,18.714000000000002,9,3248857,0,0,1
2020-12-31,45.4,1.68,22.286774193548386,12.446451612903225,0.642258064516129,5.960967741935485,14241.661935483871,31.134516129032257,19.853548387096776,18,3679663,1,1,1
2021-01-31,41.12,1.55,16.336129032258064,10.824193548387097,0.2464516129032258,3.728709677419355,14123.980645161291,25.139032258064518,18.93903225806452,11,2617796,1,0,1
2021-02-28,41.53,1.38,16.055357142857144,8.417857142857143,0.3892857142857143,3.9546428571428573,14124.917857142858,24.264999999999997,13.102500000000001,9,3090473,1,0,1
2021-03-31,45.11,1.37,17.82935483870968,9.333225806451612,0.5016129032258064,4.643225806451613,14491.323548387098,29.41516129032258,17.732580645161292,9,3558538,1,0,1
2021-04-30,46.59,1.4200000000000002,18.748,10.613666666666667,0.21833333333333332,4.743666666666667,14635.749666666667,33.10666666666667,19.294666666666668,12,3486742,1,1,1
2021-05-31,45.23,1.68,19.59258064516129,8.946451612903225,0.3693548387096774,5.426129032258065,14395.72,39.97387096774194,29.04,21,3671451,1,1,1
2021-06-30,51.9,1.3299999999999998,19.592333333333332,10.188333333333333,0.32733333333333337,4.7716666666666665,14411.199333333332,29.41433333333333,18.871666666666666,12,3020770,1,1,1
2021-07-31,31.72,1.52,10.78032258064516,7.017741935483872,0.24354838709677418,2.592258064516129,14588.095483870968,10.035483870967743,7.8025806451612905,17,1516119,1,1,0
2021-08-31,30.8,1.59,10.932903225806452,6.1890322580645165,0.4532258064516129,3.314193548387097,14475.244193548388,16.934193548387096,14.523548387096774,11,2149334,1,0,0
2021-09-30,42.62,1.6,15.325,7.269,0.23733333333333334,4.182666666666667,14324.301333333333,23.255333333333333,18.08833333333333,8,2914875,0,0,0
2021-10-31,50.61,1.66,18.781612903225806,9.084193548387097,0.3629032258064516,5.201935483870967,14263.31935483871,29.503870967741936,20.74838709677419,11,3590483,1,0,0
2021-11-30,53.33,1.7500000000000002,20.497666666666667,10.296666666666669,0.25666666666666665,5.730666666666667,14340.180333333334,31.613666666666667,21.865333333333336,8,3503961,0,0,0
2021-12-31,58.79,1.87,24.669677419354837,10.976774193548387,0.35645161290322586,6.307096774193549,14402.657741935484,40.704193548387096,26.548709677419353,18,4513926,1,1,0
2022-01-31,52.26,2.18,19.256129032258066,11.037741935483872,0.18161290322580645,5.365483870967743,14406.904193548386,37.01903225806451,24.978387096774192,10,3619251,1,0,0
2022-02-28,46.05,2.06,15.906428571428572,9.53357142857143,0.5803571428571429,5.126071428571429,14427.71107142857,27.910357142857144,18.09392857142857,10,2756201,1,0,0
2022-03-31,52.7,2.64,17.76516129032258,12.13225806451613,0.7254838709677419,6.727741935483871,14419.58064516129,33.62645161290323,21.19741935483871,9,4586681,1,0,0
